key,en,jp,vi
BOX_MAP_ITEM_1_INFO,"A slip of paper with lost item locations.
Marks train cars containing lost items from cars 1-20 on your Kankan Navi.","落とし物の位置が記された紙。
1～20号車のうち、落とし物がある車両をシャリョーナビに表示します。",Một mảnh giấy ghi chép vị trí của các món đồ thất lạc. Đánh dấu các toa tàu có chứa đồ thất lạc từ toa 1 đến toa 20 trên Bản đồ dẫn đường của bạn.
CREDIT_THANKSFORPLAY,Thanks for Playing,プレイしていただきありがとうございます,Cảm ơn bạn đã chơi game
DESTINATION_HINT_MIRROR_INFO,"...Pazuzu! I never expected you to volunteer so eagerly for this mission. I don't know what this means to you, but make sure there are no mistakes this time.
Here, this is a [color=#ADFF2F]cipher[/color]. Don't you dare forget it, understood?","……パズズ！ お前がここまで積極的に任務を志願するとはな。お前にとってどんな意味があるのかは知らんが、今回はしくじるなよ。
ほら、これは[color=#ADFF2F]暗号文[/color]だ。絶対に忘れるんじゃないぞ？","...Pazuzu! Ta không ngờ ngươi lại hăng hái tự nguyện nhận nhiệm vụ này đến thế. Ta không biết việc này có ý nghĩa gì với ngươi, nhưng hãy chắc chắn rằng lần này không được xảy ra bất kỳ sai sót nào đấy. Này, đây là [color=#ADFF2F]mật thư[/color]. Tuyệt đối không được quên đấy nhé, rõ chưa?"
DETECT_AREA_UP_DESCRIPTION,Expands the detection range.,感知範囲を拡大します。,Mở rộng phạm vi phát hiện.
ROUTE_NOT_FIND,Undiscovered,未発見,Chưa phát hiện
SCENE_DOOR_STUCK,Stuck in Door,ドア挟み,Mắc kẹt sơn môn
SHOP_TICKET_NUM,Tickets:,チケット：,Số vé:
ROUTE_TITLE_WHITE,White Liquid,白い液体,Chất lỏng màu trắng
COLA_FINDER_DESCRIPTION,Move around until the cola explodes to reveal the Anomaly's location.,コーラが爆発するまで動くと、異変の位置を知らせます。,Hãy di chuyển liên tục cho đến khi chai cola phát nổ để làm hiển thị vị trí của Hiện tượng lạ.
LIFE_UP,Okaboshi 0.00001,オカボシ 0.00001,Ngôi sao may mắn 0.00001
CHAPTER_CHANGING_NEW_ANOMALY,New anomalies have been added.,新たな異変が追加されました。,Đã thêm các hiện tượng lạ mới.
NOTI_NOT_ENOUGH_TICKET,Not enough Tickets.,チケットが不足しています。,Không đủ Vé.
ROUTE_APP_MSG_UNLOCKROUTE,Unlock Route,車両のアンロック,Mở khóa tuyến đường
ROUTE_TITLE_BUTTON,Button,ボタン,Nút bấm
DESTINATION_HINT_LOWSPEED_INFO,"Train 45 is fully equipped with auxiliary facilities for socially vulnerable passengers!
In addition to [color=#ADFF2F]priority seating[/color] and [color=#ADFF2F]tactile paving blocks[/color] installed at every entrance, we are proud to announce the first-ever introduction of an [color=#ADFF2F]ultra-slow safety zone[/color] across all Routes!
This slow zone operates at approximately 20% of regular train speed to prevent unforeseen accidents...(omitted)

""...So slow it makes me nauseous. Probably faster to just run. Can't believe it really takes an hour to the next station.""","『当45番電車は、社会的弱者のための補助設備も完備しております！
[color=#ADFF2F]優先席[/color]や出入り口ごとの[color=#ADFF2F]点字ブロック[/color]はもちろん、安全のための[color=#ADFF2F]超低速[/color]区間を全路線で初めて導入決定いたしました！
この低速区間は、従来の20％程度の速度で運行し、不慮の事故を予防……（中略）』
……遅すぎて酔うわ。走ったほうが速いんじゃないか。次の駅まで1時間かかるってマジだったんだな。","Tuyến tàu số 45 của chúng tôi được trang bị đầy đủ các cơ sở vật chất hỗ trợ cho những hành khách cần được ưu tiên! Ngoài [color=#ADFF2F]ghế ưu tiên[/color] và [color=#ADFF2F]vạch chỉ dẫn nổi[/color] được lắp đặt ở mỗi lối ra vào, chúng tôi tự hào công bố lần đầu tiên đưa vào hoạt động khu vực [color=#ADFF2F]tốc độ siêu chậm[/color] trên toàn tuyến để đảm bảo an toàn! Khu vực chậm này vận hành ở mức khoảng 20% tốc độ tàu thông thường nhằm ngăn ngừa các tai nạn đáng tiếc... (lược dịch)\n\n...Chậm đến phát nôn. Thà chạy bộ có khi còn nhanh hơn. Không ngờ việc mất cả tiếng đồng hồ để đến ga tiếp theo là có thật."
ROUTE_APP_MSG_UNLOCKBUTTON,"Press to
Unlock","押して
アンロック",Nhấn để\nMở khóa
TUTO_BASE_H_ACTION_2,"Press the up arrow key to adjust the speed of the sexual activity. During sex scenes, accumulated Lust is continuously consumed. Press the down key to lock in the current speed.
When the gauge fills up, you'll ejaculate, and the consumed Lust converts into Tickets.
Higher Affection means better quality Tickets.","上方向キーを押してエッチの速度を調節できます。エッチ中は溜まった情念が持続的に消費され、下方向キーを押すとその速度で固定できます。
ゲージがいっぱいになると射精し、消費された情念がチケットに変換されます。
好感度が高いほど、より高品質なチケットを獲得できます。","Nhấn phím mũi tên Lên để điều chỉnh tốc độ hoạt động thân mật. Trong các phân cảnh H, điểm Dục vọng tích lũy sẽ liên tục bị tiêu hao. Nhấn phím Xuống để cố định tốc độ hiện tại. Khi thanh đo đầy, bạn sẽ xuất tinh và điểm Dục vọng đã tiêu hao sẽ được chuyển đổi thành Vé. Điểm Thiện cảm càng cao thì chất lượng Vé thu được càng tốt."
TUTO_BASE_H_ACTION_3,"You can change positions during sex scenes using the left and right keys!
You won't earn Tickets without enough Lust, so build it up through exploration.
Exchange your collected Tickets for items to explore more efficiently and quickly.","エッチ中も左右方向キーを押すと、別の体位に変更できます！
情念が不足するとチケットを獲得できないため、探索を行って情念を溜めてください。
集めたチケットでアイテムを交換し、より効率的かつスピーディーに探索を進められます。","Bạn có thể thay đổi tư thế trong các phân cảnh H bằng cách sử dụng các phím Trái và Phải! Bạn sẽ không thể kiếm được Vé nếu không có đủ điểm Dục vọng, vì vậy hãy tích lũy điểm này thông qua việc thám hiểm. Hãy đổi Vé đã thu thập để lấy các vật phẩm nhằm thám hiểm hiệu quả và nhanh chóng hơn."
ROUTE_APP_CONFIRM_ROUTE,Confirm Route,ルート確定,Xác nhận tuyến đường
<!MissingKey:50:You grew closer to Butler.>,You grew closer to Butler.,執事とさらに仲良くなったようだ。,Có vẻ bạn đã trở nên thân thiết hơn với Quản gia.
TUTO_BASE_H_ACTION_1,"At the starting point, you can convert accumulated Lust into Tickets through sex scenes with your partner.
Use the left and right arrow keys and the select key to choose your desired sex scene.
Raise Affection and view events to unlock more positions.
Your partner's preferred position changes each time. Selecting a heart-marked position earns bonus Tickets.","開始地点では、パートナーとのエッチを通じて溜まった情念をチケットに変換できます。
左右の方向キーと選択キーを押して、希望のエッチシーンを選択できます。
好感度を上げてイベントを見ると、より多くの体位がアンロックされます。
行為毎にパートナーが好む体位は変化し、ハートマークのついた体位ではボーナスチケットを獲得できます。","Tại điểm xuất phát, bạn có thể chuyển đổi điểm Dục vọng tích lũy thành Vé thông qua việc thực hiện hoạt động thân mật với bạn đồng hành. Sử dụng phím mũi tên Trái/Phải và phím Chọn để chọn phân cảnh H mong muốn. Hãy nâng cao điểm Thiện cảm và xem các sự kiện để mở khóa thêm nhiều tư thế hơn. Tư thế ưu thích của bạn đồng hành sẽ thay đổi sau mỗi lần thực hiện, chọn tư thế có đánh dấu trái tim sẽ nhận được vé thưởng."
BUTTON_SELECT,Select,選択,Chọn
ROUTE_INFO_PRIORITYSEAT,The seats at the end are priority seating. Please pay close attention to the signage.,端の座席は優先席でございます。案内板を注意深くご覧くださいませ。,Các ghế ở góc là ghế ưu tiên. Hãy chú ý kỹ đến biển báo hướng dẫn nhé.
CLEAR_NUM,Times Cleared,クリア回数,Số lần hoàn thành
ERO_GAUGE_COMSUME_UP,Retro Game Console,レトロゲーム機,Máy chơi game cổ điển
SCENE_KISSING_FACING,Face-to-Face Kissing,対面座位(キス),Diện đối diện giao hôn
DESTINATION_HINT_HANDFAN_TITLE,Torn Fan,破れたうちわ,Chiếc quạt rách
NOTI_CHAPTER_LOVE_LEVEL_LIMIT,I feel like we'll get closer if the story progresses.,物語を進めれば、もっと親しくなれそうだ。,Có vẻ chúng ta sẽ trở nên thân thiết hơn khi cốt truyện tiến triển.
ROUTE_INFO_FELLATION,Wasn't there a woman in the advertisement with something in her mouth?,広告の中の女性が、何かを口に咥えてはいませんでしたか？,Chẳng phải người phụ nữ trong ảnh quảng cáo đang ngậm thứ gì đó trong miệng sao?
FREE_H_SCENE_DOWN_KEY,"S, Down Key",S、下キー,"Phím S, mũi tên Xuống"
DESTINATION_HINT_ONSEN_INFO,"A flyer from inside the train. The date has long since passed.
""...A hot spring experience inside a train car? Is that even possible?""
""That's why it got trashed and shut down early.
[color=#ADFF2F]The whole car flooded[/color]... and [color=#ADFF2F]white water was pouring from the ceiling[/color]. They say [color=#ADFF2F]the windows were so fogged up[/color] you couldn't see the scenery at all.""
""White water... could that be limestone water?...""","車内の広告チラシ。日付はだいぶ昔のものだ。
『……車内で温泉体験ができる特別客室？…正気かよ？』
『だから文句言われまくって早期終了したんだよ。[color=#ADFF2F]あちこち浸水する[/color]わ……天井からも[color=#ADFF2F]白い謎の液体がボタボタ滴ってくる[/color]わ。[color=#ADFF2F]窓は全部結露[/color]して風景なんて全く見えなかったらしいし』
『白い液体って……石灰水か何かか？……』","Đây là tờ rơi quảng cáo trên tàu. Ngày tháng trên đó đã qua từ lâu rồi.\n\n""...Toa đặc biệt cho phép trải nghiệm suối nước nóng ngay trên tàu? Có thật không vậy?""\n""Thế nên mới bị chỉ trích và đóng cửa sớm đấy. Toa tàu [color=#ADFF2F]bị ngập nước khắp nơi[/color]... và [color=#ADFF2F]nước màu trắng cứ thế đổ xuống từ trần nhà[/color]. Người ta nói [color=#ADFF2F]các cửa sổ đều bị mờ sương[/color] đến nỗi chẳng nhìn thấy gì bên ngoài cả.""\n""Nước màu trắng... có phải là nước vôi không nhỉ?..."""
CREDIT_BACKGROUND,Background,背景,Bối cảnh
RETURN_BASE_CONFIRM_DESCRIPTION,Return to the starting point?,スタート地点に戻りますか？,Bạn có muốn quay lại điểm xuất phát không?
SCENE_SWIMSUIT,Swimsuit,水着,Đồ bơi
OPTION_MASTER_VOLUME,Master Volume,全体音量,Âm lượng tổng
NOTI_LOVE_EXP_BONUS,Affection + %d,好感度 + %d,Thiện cảm + %d
UNVISIT_FINDER_DESCRIPTION,"A rectangular tablet of unknown purpose.
If you encounter previously visited cars a certain number of times, you'll be moved to an undiscovered car next.
Route must not be set.","用途不明の四角い板。
発見済みの車両への進入が一定回数続いた場合、次は未発見の車両へ移動します。
路線が指定されていない状態である必要があります。","Đây là một tấm bảng hình chữ nhật không rõ công dụng.\nNếu bạn đi vào các toa tàu đã phát hiện một số lần nhất định, lần tiếp theo bạn sẽ được chuyển đến một toa tàu chưa phát hiện.\nTuyến đường phải ở trạng thái chưa được thiết lập."
EQUIP_COST,Equipment Cost,装着コスト,Điểm trang bị
ROUTE_TITLE_EXTENSION,Extended,延長,Mở rộng
ROUTE_APP_EXIT,Exit,閉じる,Thoát
DETECT_AREA_UP,Unpaired Earphone,片耳イヤホン,Tai nghe lẻ cặp
DESTINATION_D_DOGSTRAP,Pet Car,ペット車両,Toa thú cưng
PRESS_FIND_KEY,Press the Exploration key to continue.,探索キーを押して進んでください。,Nhấn phím Thám hiểm để tiếp tục.
ROUTE_INFO_VERTICALEXPANSION,This is a vertically extended ad.,縦に長くなったサイズの広告でございます。,Đây là biển quảng cáo được kéo dài theo chiều dọc.
H_LIST_FOLD,Expand/Collapse Sex List (Use left/right arrow keys to expand),Hリスト展開/折りたたみ(左右方向キーで展開),"Mở rộng/Thu gọn Danh sách H (Dùng phím mũi tên Trái/Phải để mở rộng, phím Shift để thu gọn)"
TIME_LIMITER,Silent Alarm Clock,静かな目覚まし時計,Đồng hồ báo thức im lặng
DARUMA_CHAN_DESCRIPTION,The Daruma will appear in cars with no Anomaly.,異変がない車両の場合、だるまちゃんが現れます。,Búp bê Daruma sẽ xuất hiện ở toa tàu không có hiện tượng lạ.
QUEST_GOAL_TEXT_2_1,"After meeting the conditions above, reach the 8th car.",上記条件を満たして8番目の車両に到達しよう,Hãy đạt toa thứ 8 sau khi đáp ứng các điều kiện trên
ROUTE_APP_MSG_COMFIRM,Route setting completed.,ルート設定を完了しました。,Đã hoàn tất thiết lập tuyến đường.
ROUTE_INFO_OUTFIT,The woman in the leftmost advertisement seems different from usual.,一番左の広告の女性ですが、雰囲気がいつもと異なるようでございます。,Bầu không khí của người phụ nữ trong quảng cáo ngoài cùng bên trái trông khác hẳn so với thường ngày.
ROUTE_INFO_SAFEROOM,There was no Anomaly there.,先ほどの場所には異変はないようでございます。,Nơi vừa rồi không có hiện tượng lạ nào cả.
EXIT_CONFIRM_DESCRIPTION,Unsaved progress will be lost.,セーブしていないデータは失われます。,Các tiến trình chưa lưu sẽ bị mất.
FREE_H_SCREEN_ZOOM,Screen Zoom : Z(.) X(/),画面ズーム：Z(.) X(/),Phóng to màn hình: Z(.) X(/)
DESTINATION_HINT_LOWSPEED_TITLE,Slow Zone Notice,低速区間導入のご案内,Bảng thông báo tốc độ chậm
DESTINATION_D_COMPLETE_EP6,Engine Room,機関室,Phòng động cơ
CREDIT_SOUND,Sound,サウンド,Âm thanh
DESTINATION_D_COMPLETE_EP4,Storage,倉庫,Kho hàng
DESTINATION_HINT_STORAGE_TITLE,The Path to the Storage,倉庫への道,Đường đến kho hàng
DESTINATION_D_COMPLETE_EP5,Dark Room,暗い部屋,Phòng tối
NOTI_PROLOGUE_FAILED,"""Bzzt! That's not it!""",「ブー！そこじゃない！」,"""Sai rồi~ Không phải chỗ đó đâu!"""
ROUTE_INFO_ESCAPE,"That car has nothing in it, so feel free to pass through. Nothing at all...",その車両には何もございませんので、そのまま通り過ぎて構いません。ええ、何も……,"Toa tàu đó không có gì cả, bạn có thể đi thẳng qua. Hoàn toàn không có gì cả..."
SCENE_DOGGY_SWIMSUIT,Doggy Style - Swimsuit,バック - 水着,Tư thế la hán đẩy xe bò - Đồ bơi
ROUTE_INFO_FLIGHT,Was that... outside the window... a pair of panties?,窓の外のあれは……パンティでございましょうか？,Thứ ở ngoài cửa sổ đó... có phải là một chiếc quần lót không?
ROUTE_APP_HINT,Hint,ヒント,Gợi ý
VIEW_MODE_ACTIVE,Observation Mode,観察モード,Chế độ quan sát
FREE_H_SCENE_EXIT,Press ESC to exit.,ESCを押して終了します,Nhấn ESC để kết thúc
HINT_ITEM_GET,"A hint that leads to a certain Terminal.
Added to ""Hints"" in Kankan Navi.","どこかの終点へ移動できるヒント。
シャリョーナビの『ヒント』に登録されました。",Đây là gợi ý để đi đến một ga cuối nào đó.\nĐã được đăng ký vào mục 'Gợi ý' trên Bản đồ dẫn đường của bạn.
ROUTE_INFO_SHADOW,That was simply a shadow from a rather peculiarly-shaped utility pole.,奇妙な形の電柱の影でございました。,Đó chỉ là bóng của một cây cột điện có hình dáng hơi kỳ lạ mà thôi.
SAVE_EMPTY,Empty,空き,Trống
QUEST_CLEAR,Ready to Proceed,進行可能,Có thể tiến hành
ROUTE_TITLE_GAZE,Gaze,視線,Ánh nhìn
ALL_CLEAR_PERCENT,Progress,進行度,Tiến độ
MORE_FRIENDLY_REINA,You need to get a little closer to Reina...,怜奈とはもう少し仲良くならないといけない気がする…,Có vẻ bạn cần phải thân thiết hơn nữa với Reina...
DESTINATION_HINT_ROULLET_TITLE,Flyer - Pachinko,広告チラシ -パチンコ,Tờ rơi quảng cáo - Pachinko
FREE_H_SCENE_UP_KEY,"W, Up Key",W、上キー,"Phím W, mũi tên Lên"
SCENE_STANDING_SIDEWAYS,Standing Sideways,立ち側位,Độc lập trắc vị
NOTI_TICKET_BONUS,Car %d Bonus x%.1f (%d Tickets),%d番車両ボーナス %.1f倍(%d枚),Thưởng toa %d x%.1f (%d Vé)
DIALOG_BACKLOG,Backlog (B),バックログ (B),Nhật ký (B)
ROUTE_FIND,Discovered,発見,Đã phát hiện
ROUTE_TITLE_DEFORME,Chibi,デフォルメ,Chibi
ROUTE_INFO_TUNNEL,"Please take care not to enter ""their"" line of sight.",「それら」の視界に入らぬよう、ご注意くださいませ。,"Xin hãy cẩn thận đừng đi vào tầm mắt của ""chúng""."
ANOMALY_FINDER_DESCRIPTION,"Indicates areas where Anomalies may appear.
Shows a random area if no Anomaly is present.","異変が発生する可能性のあるエリアを表示します。
異変が存在しない場合、ランダムなエリアを表示します。",Hiển thị khu vực có khả năng xuất hiện Hiện tượng lạ.\nHiển thị ngẫu nhiên nếu không có Hiện tượng lạ nào tồn tại.
ROUTE_TITLE_VEIL,Disguise,偽装,Ngụy trang
ROUTE_PERCENT,Route,路線,Tuyến đường
NOTI_EXP_UP_MAI,You grew closer to Mai.,舞とさらに仲良くなったようだ。,Có vẻ bạn đã trở nên thân thiết hơn với Mai.
DESTINATION_HINT_DARK_ROOM_TITLE,Memo -Dark Room-,メモ -暗い部屋-,Ghi chú -Phòng tối-
DESTINATION_HINT_LOCKER_INFO,"""Why aren't you bailing water?! [color=#ADFF2F]It's rising! Is this really the time to be scribbling on the walls?[/color]""
""Keep it down. With this mark, everyone will know we were here...""
""Stop talking nonsense! If we can't stop this flooding, we're all getting our pay docked!""","「排水作業をサボって何をやってんだ？ [color=#ADFF2F]どんどん増えてるぞ！ 壁に落書きなんかしてる場合か！？[/color]」
「静かにしてくれ。この印があれば、俺たちがここにいた事実をみんなが知ることになる……」
「そんなことはどうでもいい！ 浸水を止めないと、俺たち全員減給処分だぞ！」","""Sao không múc nước ra đi?! [color=#ADFF2F]Nước dâng lên rồi kìa! Bây giờ là lúc để vẽ bậy lên tường à?[/color]""\n""Suỵt, khẽ thôi. Nhờ ký hiệu này, tất cả mọi người sẽ biết chúng ta đã từng ở đây...""\n""Đừng có nói nhảm nữa! Nếu không ngăn được ngập nước, tất cả chúng ta sẽ bị trừ lương đấy!"""
ROUTE_TITLE_DIVE,Diving,潜水,Lặn xuống
LOW_SPEC_MODE,Performance Mode,パフォーマンス優先,Chế độ ưu tiên hiệu năng
ROUTE_TITLE_TENTACLE2,Tentacle 2,触手 - 2,Xúc tu - 2
ROUTE_TITLE_TENTACLE3,Tentacle 3,触手 - 3,Xúc tu - 3
MAIN_RECOLLECT,Event Gallery,イベント回想,Phòng trưng bày sự kiện
UNVISIT_FINDER,Ancient Record Tablet,古代の記録板,Phiến đá cổ xưa
ROUTE_TITLE_TENTACLE1,Tentacle 1,触手 - 1,Xúc tu - 1
MULTIPLE_CHOICE_DESCRIPTION,"Displays the Anomaly's location as one of 5 multiple-choice options.
All options are randomized if no Anomaly is present.","異変の位置を5つの選択肢で表示します。
異変が存在しない場合、すべてランダムに表示します。","Hiển thị vị trí của hiện tượng lạ dưới dạng 1 trong 5 lựa chọn trắc nghiệm.
Tất cả lựa chọn đều được hiển thị ngẫu nhiên nếu không có hiện tượng lạ."
DESTINATION_HINT_GHOST_INFO,"...I've seen all kinds of complaints, but this takes the cake. Ghosts now? Are they pranking us because their complaints weren't heard?
[color=#ADFF2F]Complaint 1 - Creepy stare felt from under the seats[/color]
[color=#ADFF2F]Complaint 2 - Crying sounds heard whenever entering a tunnel[/color]
[color=#ADFF2F]Complaint 3 - A resentful ghost following from the end of the train[/color]
[color=#ADFF2F]Complaint 4 - A window where a ghost appears when you look at it[/color]","『……まったく、あらゆる苦情があるもんだな。今度は幽霊だと？対応しないからって悪戯でクレーム入れてるんじゃないのか？』
[color=#ADFF2F]苦情1 - 椅子の下から感じる気味の悪い視線[/color]
[color=#ADFF2F]苦情2 - トンネルに入るたびに聞こえてくる泣き声[/color]
[color=#ADFF2F]苦情3 - 電車の端からついてくる怨念じみた幽霊[/color]
[color=#ADFF2F]苦情4 - 見つめると幽霊が現れる窓[/color]","""...Xem qua đủ loại khiếu nại rồi, nhưng cái này đúng là đỉnh điểm. Bây giờ lại còn có cả ma à? Hay tụi nó phá rối vì khiếu nại không được giải quyết nhỉ?""\n[color=#ADFF2F]Khiếu nại 1 - Cảm giác có ánh nhìn rợn tóc gáy từ dưới ghế ngồi[/color]\n[color=#ADFF2F]Khiếu nại 2 - Tiếng khóc vang lên mỗi khi tàu đi vào đường hầm[/color]\n[color=#ADFF2F]Khiếu nại 3 - Một oan hồn bám theo từ phía đuôi tàu[/color]\n[color=#ADFF2F]Khiếu nại 4 - Ô cửa sổ nơi ma hiện hồn khi nhìn vào[/color]"
GHOST_SKIP,Empty Beer Can,空のビール缶,Lon bia rỗng
NOTI_PROLOGUE_TUTO2,"""Remember what the train looks like, then head all the way to the left!""",「電車の様子を覚えて、一番左へ移動しろ！」,"""Hãy ghi nhớ diện mạo của tàu, sau đó đi hết cỡ về bên trái!"""
TUTO_TITLE_ROUTE_BUY_MODE,Route Purchase Mode,路線購入モード,Chế độ mua tuyến đường
NOTI_PROLOGUE_TUTO1,Press Shift to Talk.,Shiftキーを押して会話,Nhấn phím Shift để trò chuyện.
TUTO_H_EVENT_1,"If your Affection is 1 or higher, you can talk to Reina or Mai at the starting point to engage in sexual activities.
Additional sex scenes unlock by raising Affection or through events.","好感度が1以上あれば、開始地点で怜奈や舞に話しかけてエッチすることができます。
行えるエッチの種類は、好感度を上げたりイベントを経ることでアンロックされます。","Nếu điểm Thiện cảm đạt từ 1 trở lên, bạn có thể nói chuyện với Reina hoặc Mai tại điểm xuất phát để kích hoạt hoạt động thân mật. Các phân cảnh H bổ sung sẽ được mở khóa bằng cách tăng điểm Thiện cảm hoặc thông qua các sự kiện."
ROUTE_TITLE_ESCAPE,Empty Car,無人の車両,Toa trống
TUTO_H_EVENT_2,"Each time you reach Ejaculation, your accumulated Lust is converted into a set amount of Tickets.
Higher Affection increases the chance of producing higher-quality Tickets.","また、射精するたびに蓄積した情念が一定量のチケットに変換されます。
好感度が高いほど、高品質なチケットが生成される確率が上がります。","Ngoài ra, mỗi khi xuất tinh, điểm Dục vọng tích lũy sẽ được chuyển đổi thành một lượng Vé nhất định. Điểm Thiện cảm càng cao thì tỷ lệ nhận được Vé chất lượng cao càng tăng."
SHOP_BUY,Purchase,購入,Mua
BOX_MAP_ITEM_1_TITLE,Lost Item Location Hint -1-,落とし物位置のヒント -1-,Gợi ý vị trí đồ thất lạc -1-
ROUTE_INFO_BRAILLEBLOCK,"Like that, it can hardly serve its purpose as tactile paving...",あれでは点字ブロックの役割を果たせないでしょうに……,Như thế kia thì vạch chỉ dẫn nổi làm sao thực hiện được vai trò của nó cơ chứ...
ROUTE_INFO_DROP,Whoa!,きゃあっ、大変驚いてしまいました…,Giật cả mình!
ROUTE_INFO_WHITE,Please keep a close eye on what falls from above.,上から落ちてくる「何か」を、よくご覧ください。,"Xin hãy chú ý quan sát ""thứ gì đó"" rơi xuống từ phía trên."
NPC_ANO_H,Clogged Lock,鍵穴の詰まった南京錠,Ổ khóa bị kẹt
ROUTE_TITLE_FLOOD,Flooding,浸水,Ngập nước
ROUTE_TITLE_ALNICO,Alnico,アルニコ,Alnico
DESTINATION_D_CLOCK,Passing Car,追越車両,Toa vượt tuyến
ROUTE_TITLE_DICKWALKER,Walking Dick,歩くちんぽ,Cậu nhỏ biết đi
NOTI_WISPER_HINT,That place just now was...,さっきの場所は…,Nơi vừa rồi là...
ROUTE_FIND_NO_EVENT,Discovered (Event Locked),発見 (イベント未開放),Đã phát hiện (Sự kiện chưa mở khóa)
<!MissingKey:146:You grew closer to Konial.>,You grew closer to Konial.,コニアルとさらに仲良くなったようだ。,Có vẻ bạn đã trở nên thân thiết hơn với Konial.
